Tube_ID,Plot_ID,depth,pH,Comments
12,HV_H_R_01,0,4.7,
13,HV_H_R_02,0,4.89,
14,HV_H_R_03,0,4.6,
15,SD_H_T_02,0,5.52,
16,SD_H_T_04,0,5.26,
17,SD_H_T_04,1,5.4,
18,SD_H_T_05,1,5.79,
19,WV_H_TG_01,0,5.44,
20,WV_H_TG_02,0,5,
21,WV_H_TG_04,0,5.43,
22,WV_H_TG_05,0,6.93,
