site_ID,grassland_type,restoration_measure,gen_sp,species_richness,cover_%,shannon_index,depth,pH
SB_TG_04,B,TG,Anthoxanthum_odoratum,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Anthoxanthum_odoratum,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Cirsium_dissectum,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Cirsium_dissectum,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Hypochaeris_radicata,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Hypochaeris_radicata,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Prunella_vulgaris,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Prunella_vulgaris,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Betula_pendula,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Betula_pendula,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Cardamine_pratensis,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Cardamine_pratensis,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Lythrum_salicaria,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Lythrum_salicaria,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Carex_demissa,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Carex_demissa,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Cirsium_palustre,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Cirsium_palustre,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Juncus_acutiflorus,18,19,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Juncus_acutiflorus,18,19,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Ranunculus_repens,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Ranunculus_repens,18,2,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Carex_pallescens,18,8,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Carex_pallescens,18,8,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Juncus_effusus,18,19,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Juncus_effusus,18,19,2.3660145381999915,1,6.48
SB_TG_04,B,TG,Centaurea_jacea,18,2,2.3660145381999915,0,6.15
SB_TG_04,B,TG,Centaurea_jacea,18,2,2.3660145381999915,1,6.48
SB_TG_05,B,TG,Carex_panicea,13,19,2.087271742276039,0,6.23
SB_TG_05,B,TG,Carex_panicea,13,19,2.087271742276039,1,6.66
SB_TG_05,B,TG,Holcus_lanatus,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Holcus_lanatus,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Lotus_pedunculatus,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Lotus_pedunculatus,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Salix_cinerea,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Salix_cinerea,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Succisa_pratensis,13,8,2.087271742276039,0,6.23
SB_TG_05,B,TG,Succisa_pratensis,13,8,2.087271742276039,1,6.66
SB_TG_05,B,TG,Anthoxanthum_odoratum,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Anthoxanthum_odoratum,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Hypochaeris_radicata,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Hypochaeris_radicata,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Prunella_vulgaris,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Prunella_vulgaris,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Potentilla_erecta,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Potentilla_erecta,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Carex_demissa,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Carex_demissa,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Juncus_acutiflorus,13,19,2.087271742276039,0,6.23
SB_TG_05,B,TG,Juncus_acutiflorus,13,19,2.087271742276039,1,6.66
SB_TG_05,B,TG,Ranunculus_repens,13,2,2.087271742276039,0,6.23
SB_TG_05,B,TG,Ranunculus_repens,13,2,2.087271742276039,1,6.66
SB_TG_05,B,TG,Juncus_effusus,13,8,2.087271742276039,0,6.23
SB_TG_05,B,TG,Juncus_effusus,13,8,2.087271742276039,1,6.66
BK_TG_01,B,TG,Carex_panicea,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_panicea,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Holcus_lanatus,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Holcus_lanatus,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Salix_cinerea,25,19,2.732890898259143,0,7.91
BK_TG_01,B,TG,Salix_cinerea,25,19,2.732890898259143,1,7.89
BK_TG_01,B,TG,Anthoxanthum_odoratum,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Anthoxanthum_odoratum,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Cirsium_dissectum,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Cirsium_dissectum,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Betula_pendula,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Betula_pendula,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Cardamine_pratensis,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Cardamine_pratensis,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Filipendula_ulmaria,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Filipendula_ulmaria,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Hypericum_tetrapterum,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Hypericum_tetrapterum,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Lythrum_salicaria,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Lythrum_salicaria,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Silene_floscuculi,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Silene_floscuculi,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_demissa,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_demissa,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Juncus_acutiflorus,25,19,2.732890898259143,0,7.91
BK_TG_01,B,TG,Juncus_acutiflorus,25,19,2.732890898259143,1,7.89
BK_TG_01,B,TG,Ranunculus_repens,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Ranunculus_repens,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Phragmites_australis,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Phragmites_australis,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Agrostis_capillaris,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Agrostis_capillaris,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_acuta,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_acuta,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_disticha,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_disticha,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_hirta,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_hirta,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_pallescens,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_pallescens,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Carex_pulicaris,25,8,2.732890898259143,0,7.91
BK_TG_01,B,TG,Carex_pulicaris,25,8,2.732890898259143,1,7.89
